product_url,product_name,product_category_tree,pid,retail_price,discounted_price,,Date
http://www.flipkart.com/ezyprnt-cv-golf-ball-size-4-diameter-4-26-cm/p/itmegfxzz5dg9rce?pid=BALEGFXZZ3MRZYVC,"ezyPRNT ""CV"" Golf Ball -   Size: 4,  Diameter: 4.26 cm","[""Sports & Fitness >> Other Sports >> Golf >> Golf Balls >> ezyPRNT Golf Balls >> ezyPRNT \""CV\"" Golf Ball -   Size: 4,  Diameter: 4...""]",BALEGFXZZ3MRZYVC,1195,625,,02-11-2022
http://www.flipkart.com/traditions-printed-protective-men-s-gloves/p/itmej8hyqzfxh8td?pid=GVEEJ8HYZGXTNYYH,Traditions Printed Protective Men's Gloves,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Gloves >> Traditions Gloves >> Traditions Printed Protective Men's Gloves""]",GVEEJ8HYZGXTNYYH,500,429,,01-11-2022
http://www.flipkart.com/first-choice-cotton-embroidered-diwan-set/p/itmejj8v8jntethd?pid=DSTEJJ8VGMGUFVWF,First Choice Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> First Choice Diwan Sets >> First Choice Cotton Embroidered Diwan Set""]",DSTEJJ8VGMGUFVWF,2199,1009,,01-11-2022
http://www.flipkart.com/eccellente-solid-hip-hop-cap/p/itmehxtr6hffdfbj?pid=CAPEHXTRYTBBN2QK,Eccellente Solid Hip Hop Cap,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Swim & Beach Wear >> Eccellente Swim & Beach Wear >> Eccellente Solid Hip Hop Cap""]",CAPEHXTRYTBBN2QK,899,366,,01-11-2022
http://www.flipkart.com/nechams-resin-magnetic-melamine-small-whiteboards/p/itmechfjb5uhmtnt?pid=WADECHFGPKW3DHDX,Nechams Resin Magnetic Magnetic Melamine Small Whiteboards,"[""Pens & Stationery >> Office Supplies >> Boards & Dusters >> Whiteboards >> Nechams Whiteboards >> Nechams Resin Magnetic Magnetic Melamine Small W...""]",WADECHFGPKW3DHDX,1799,829,,01-11-2022
http://www.flipkart.com/traditions-printed-protective-men-s-gloves/p/itmej8hyccnetmvb?pid=GVEEJ8HYPD9KYQ3H,Traditions Printed Protective Men's Gloves,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Gloves >> Traditions Gloves >> Traditions Printed Protective Men's Gloves""]",GVEEJ8HYPD9KYQ3H,500,429,,01-11-2022
http://www.flipkart.com/first-choice-cotton-embroidered-diwan-set/p/itmejj8vydzar5zf?pid=DSTEJJ8VUGD5ZWVY,First Choice Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> First Choice Diwan Sets >> First Choice Cotton Embroidered Diwan Set""]",DSTEJJ8VUGD5ZWVY,2199,1009,,01-11-2022
http://www.flipkart.com/first-choice-cotton-embroidered-diwan-set/p/itmejj8umfzhhxcm?pid=DSTEJJ8UB6GWJWFX,First Choice Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> First Choice Diwan Sets >> First Choice Cotton Embroidered Diwan Set""]",DSTEJJ8UB6GWJWFX,2199,1009,,01-11-2022
http://www.flipkart.com/jaspo-thunder-intact-superior-senior-skates-combo-skates-helmet-knee-elbow-bag-suitable-age-upto-6-14-years-skating-kit/p/itmegfbd4tyyxpk9?pid=KITEGFBDSYZSVBKB,JASPO Thunder Intact Superior Senior Skates Combo (skates+helmet+knee+elbow+bag)suitable for age upto 6 to 14 years Skating Kit,"[""Sports & Fitness >> Other Sports >> Skating >> Kits >> JASPO Kits >> JASPO Thunder Intact Superior Senior Skates Comb...""]",KITEGFBDSYZSVBKB,1399,800,,01-11-2022
http://www.flipkart.com/masaba-magic-fairy-girl-s-layered-pink-dress/p/itmej3v5bxykzbye?pid=DREEJ3V5R9GQJNSY,Masaba for Magic fairy Girl's Layered Pink Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Dresses >> Masaba for Magic fairy Dresses >> Masaba for Magic fairy Girl's Layered Pink Dress""]",DREEJ3V5R9GQJNSY,1775,1628,,01-11-2022
